ID,dc1,dc2,organic,SoilOrganicMatter0to10cmPercentage,SoilOrganicMatter10to20cmPercentage,Polyphenols,Antioxidants,Dry Mass % (x 100),Soil 10-20cm Total Organic Carbon %
2021,1.2693635344157528,1.3217148871299287,TRUE,8.14,7.78,35.92,427.01,0.092,4.51
3349,-1.3612346535157513,-1.4516123085131767,TRUE,6.69,7.18,1049.81,2420.91,0.115,4.17
3544,1.0534703534891605,2.0564922460232538,TRUE,12.03,10.68,62.67,1084.39,0.063,6.19
3545,1.082231047137796,-0.3578301286847818,TRUE,12.54,10.27,46.83,1215.88,0.064,5.96
3530,1.6861229851678985,0.8085192254045523,TRUE,14.88,7.88,83.01,10337.9,0.116,4.57
3532,0.5959068193648136,-0.2423260152684179,TRUE,10.1,6.72,57.7,1699.54,0.055,3.9
3541,2.8049085291982294,-1.0790208927044205,TRUE,10.1,7.25,103.89,17670.2,0.082,4.21
3542,3.6295131038081436,1.1365820681280638,TRUE,11.49,8.4,135.09,24441.8,0.097,4.87
3543,2.929322916369159,0.6603497567205068,TRUE,9.97,6.76,165.99,21582.9,0.083,3.92
3538,3.827664343864285,0.642583243492254,TRUE,8.65,7.76,208.33,26452.5,0.088,4.5
3653.1,2.116978130590951,0.13912271352342032,TRUE,13.04,9.1,62.41,7132.06,0.14,5.28
3653.2,1.4341279661495747,0.16409171241411968,TRUE,13.04,9.1,68.35,1810.88,0.139,5.28
2015,1.031701600682922,0.07510697685438572,FALSE,14.01,8.1,25.79,3387.5,0.096,4.7
2017,0.12499673359017294,0.5418809568202505,FALSE,16.7,6.93,30.44,759.07,0.103,4.02
3554,1.0595390851054844,-0.36240580038293047,TRUE,11.85,9.77,35.96,99.6,0.074,5.67
3353,0.8149054985454427,-1.1049748163961794,TRUE,9.07,7.56,21.18,590.62,0.042,4.39
3652.3,2.930762731771992,1.205426327262785,TRUE,5.16,5.09,51.62,9270.07,0.178,2.95
3652.2,3.2858017839647147,1.1809660504211479,TRUE,5.16,5.09,58.18,12549.6,0.175,2.95
3652.1,4.37553281481879,1.105489511296355,TRUE,5.16,5.09,70.05,22531.5,0.164,2.95
2330,1.0482599362822214,2.6250415344425164,TRUE,18.46,14.13,56.48,1540.69,0.072,8.19
2150,1.3082137316514206,-0.025848733504290067,FALSE,10.1,9.91,17.39,110.69,0.067,5.75
3480,1.3268828175592624,1.2820426147013677,TRUE,3.81,3.66,2.01,18.26,0.123,2.12
3481,1.4784767207935872,0.3280631484382184,TRUE,4.25,4.62,4.79,28.4,0.12,2.68
3482,1.2000997332907524,0.5958151170481187,TRUE,4.26,3.57,14.67,18.89,0.119,2.07
2003,1.80686856874744,-0.12963576328252202,TRUE,5.35,4.98,37.84,7133.47,0.078,2.89
3654,0.7759576710516143,1.9184158440784813,TRUE,7.89,5.87,26.68,79.2,0.083,3.4
2551,0.7575712105189965,2.0493607920160457,TRUE,6.75,4.44,0.29,48.04,0.089,2.57
3651,2.0175161902015972,-0.6638783646953925,TRUE,7.42,7.39,41.67,6126.03,0.088,4.29
2143.1,0.8955762818657504,1.7712976778075245,TRUE,10.16,7.11,23.82,611.87,0.092,4.12
2143.2,1.1288550971221625,1.7629836364903895,TRUE,10.16,7.11,24.66,2456.22,0.093,4.12
2017b,0.09292473758090125,-0.4625436048511915,FALSE,6.34,2.72,55.39,751.04,0.048,1.58
2015b,1.9843416928766047,0.9935983348528907,FALSE,4.4,3.52,4.95,2353.97,0.175,2.04
2013,0.6180467522380653,1.484716121078236,FALSE,4.53,4.11,44.23,674.94,0.053,2.38
3479,0.9036050799455921,1.9919872999374775,TRUE,5.6,5.44,31.97,1445.65,0.057,3.15
3483,1.0322589384820589,1.2154009114542532,TRUE,7.32,7.28,42.43,1426.44,0.054,4.22
3484,1.120292634803974,-0.1909869791136316,TRUE,7.98,7.91,45.15,1938.19,0.046,4.59
3161,0.2757206004374204,1.953633446115191,FALSE,9.16,3.75,60.73,2574.63,0.075,2.17
3175,0.19782324341571922,1.1149124385193545,FALSE,10.71,5.4,11.03,227.97,0.061,3.13
3177,0.11819616887003193,0.20940235712015465,FALSE,7.38,2.62,15.58,426.85,0.062,1.52
3176,0.5884549354180137,1.1949969365434754,FALSE,6.64,4.97,10.36,275.65,0.053,2.88
3522,4.232978519052757,1.202365057292127,TRUE,5.67,5.78,121.88,21693.2,0.17,3.35
3521,4.621436862233011,2.326621043259479,TRUE,4.95,5.08,165.17,28093.1,0.153,2.94
3491,5.172228236324344,1.245472504270083,TRUE,5.28,5.47,74.39,27466.5,0.18,3.17
3270,1.9371887696930656,0.6367214128335945,TRUE,12.53,11.12,35,4585.24,0.093,6.45
3272,2.200767014102709,-0.24336453482737852,TRUE,12.41,10.96,43.17,6471.41,0.097,6.36
3331.1,1.846411112912648,0.35965683574295326,TRUE,22.99,16.53,45.49,5306.83,0.105,9.59
3331.2,1.7814305131587673,0.3781926072224451,TRUE,22.99,16.53,33.19,4086.94,0.11,9.59
3345.1,2.1208132603653667,0.34486072506024357,TRUE,15.57,15.91,7.04,88.74,0.096,9.23
3345.2,2.014024154854752,0.3224616447096196,TRUE,15.57,15.91,10.62,201.27,0.084,9.23
2329.1,1.36018056574801,1.3425910379128254,TRUE,11.12,9.4,7.45,13.73,0.104,5.45
2329.2,1.396995023298743,1.349082060740102,TRUE,11.12,9.4,8.49,44.62,0.108,5.45
3794.2,3.853079064430702,1.4533980062929004,TRUE,14.72,14.4,216.29,19993.9,0.12,8.35
3794.1,3.7553476606633893,1.5238742439596535,TRUE,14.72,14.4,169.28,16342.3,0.142,8.35
3795,3.7278263616164082,0.8848825895124719,TRUE,19.14,15.31,402.83,23992.7,0.16,8.88
3796,3.9034035069680044,1.072654544478155,TRUE,11.75,13.26,168.23,15529.2,0.149,7.69
3821,1.8471443508018268,-0.004805488542842795,TRUE,15.66,14.46,15.42,34.51,0.103,8.39
3822,1.1575379714238068,-0.21905383629791686,TRUE,17.84,12.39,10.57,41.57,0.105,7.19
3823.1,2.3238306185916286,-0.6018984861973422,TRUE,16.77,11.18,4.76,2.58,0.241,6.49
3823.2,1.0922734972067474,-0.8346324533702045,TRUE,16.77,11.18,11.89,7.24,0.108,6.49
3806,0.9370565237843209,0.11811611466146132,TRUE,9.27,8.48,340.98,1918.68,0.138,4.92
3807.2,1.7282241947715136,0.9019784584718309,TRUE,7.94,7.45,285.7,5564.12,0.164,4.32
3807.1,1.460902770305438,0.8747006713481369,TRUE,7.94,7.45,395.19,6037.36,0.167,4.32
3818,0.6838937333108817,0.9968155339154237,TRUE,9.03,7.02,39.82,699.81,0.055,4.07
3819.1,0.9221053594821811,-0.4683779386623428,TRUE,7.27,7.65,57.79,670.54,0.04,4.44
3819.2,0.9486037590522187,-0.45635453596901243,TRUE,7.27,7.65,72.28,600.37,0.049,4.44
3780,1.3267197533916146,-1.4910526664104964,TRUE,9.21,8.54,12.23,5.84,0.08,4.96
3781.1,1.0928954338838395,0.3542738634168927,TRUE,8.11,8.43,21.41,10.82,0.053,4.89
3781.2,2.103111662444931,0.5422329993562016,TRUE,8.11,8.43,6.74,4.78,0.159,4.89
3782,1.1475921388502073,1.152819823537584,TRUE,8.98,7.71,11.85,10.26,0.089,4.47
3783,2.067693913292864,1.3373870940165489,TRUE,8.33,7.97,59.59,7887.5,0.086,4.62
3784,1.5390831845337516,0.7244004218923692,TRUE,7.95,8.88,40.59,867.01,0.086,5.15
3644,1.425219486026073,1.387173674265341,FALSE,7.25,5.97,146.84,1561.03,0.162,3.46
3649,1.521563639161819,-1.2559518713237594,FALSE,6.48,6.49,166.7,1874.76,0.139,3.77
3646,1.4104250760327517,-0.821100172505794,FALSE,6.81,6.32,174.84,1850.8,0.141,3.67
3650,1.250039365930128,0.8796959555932062,FALSE,6.5,6.95,316.31,1371.17,0.169,4.03
3645,1.3841185875441298,-0.3395558791048643,FALSE,6.49,6.34,185.32,1925.19,0.138,3.68
3643,2.5381522454526646,1.3248722659350278,FALSE,15.71,18.76,66.57,1839.09,0.08,10.88
3642,1.5489179660989976,1.2593212314336597,FALSE,20.64,17.38,48.5,875.97,0.083,10.08
3640,1.261278796535322,-0.46716054580429045,FALSE,19.41,14.94,44.61,959.19,0.079,8.67
3641,1.2998897329245267,-0.6191333814731479,FALSE,21.5,16.18,40.93,834.37,0.085,9.39
4003.1,0.6000873422470683,1.0666444546669709,FALSE,3.45,3.47,11.08,90.25,0.044,2.01
4003.2,0.4922218517554562,1.0461528231409147,FALSE,3.45,3.47,20.46,198.15,0.034,2.01
4003.3,0.6123253463669478,1.0693936119046157,FALSE,3.45,3.47,18.6,165,0.047,2.01
4002.2,3.160108594248751,0.4162770462677372,FALSE,4.14,3.57,358.71,23130.2,0.142,2.07
4002.1,2.9378526114145025,0.4289186475508586,FALSE,4.14,3.57,392.61,21620.3,0.15,2.07
4002.3,0.1264764703977761,0.49830914815686356,FALSE,4.14,3.57,493.39,1776.8,0.145,2.07
centroid,1.1014086469303155,0.5542695209380847,FALSE,9.604571428571429,7.322666666666667,85.42761904761905,1883.6724761904761,0.10008571428571429,4.247238095238095
centroid,1.9294948843175341,0.5542695209377777,TRUE,9.182315789473684,8.06136842105263,80.5057894736842,5413.44347368421,0.11807368421052632,4.675789473684211
