State,Source,ID,Type,FarmPractices,StoreName,Farmer,Polyphenols,Antioxidants,Flavor0to5,ShippingTimehrs,TotalTimehrs,MaturityDays,Sweetness0to5,Taste0to5,sourceName,sourceClass
ohio,store,2115,spinach,certified_organic,gregs_produce,NA,248.83,28.15,2,56.17,265.67,NA,2,2,gregs_produce,namedStore
ohio,store,3894,cherry_tomato,local certified_organic,gregs_produce,NA,53.66,522.1,3,55.85,220.56,NA,4,3,gregs_produce,namedStore
ohio,store,3895,cherry_tomato,local certified_organic,gregs_produce,NA,32.48,649.8,3,55.85,219.22,NA,4,3,gregs_produce,namedStore
ohio,store,3896,cherry_tomato,local certified_organic,gregs_produce,NA,35.89,1233.82,3,55.85,123.36000000000001,NA,4,3,gregs_produce,namedStore
new_york,store,3871.1,carrot,none,stop_and_shop,NA,13.23,49.23,NA,NA,NA,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3871.2,carrot,none,stop_and_shop,NA,14.26,89.19,NA,NA,NA,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3871.3,carrot,none,stop_and_shop,NA,12.92,187.93,NA,NA,NA,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3871.4,carrot,none,stop_and_shop,NA,10.76,140.75,NA,NA,NA,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3373,cherry_tomato,none,stop_and_shop,NA,55.04,314.86,NA,71.64,1081.3400000000001,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3374,cherry_tomato,none,stop_and_shop,NA,45.76,873.08,NA,71.64,211.31,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3930,cherry_tomato,none,stop_and_shop,NA,31.54,829.28,NA,71.64,96.6,NA,NA,NA,stop_and_shop,namedStore
new_york,store,3427.1,carrot,none,hannaford,NA,12.76,37.79,4,NA,NA,NA,3,3,hannaford,namedStore
new_york,store,3427.2,carrot,none,hannaford,NA,19.34,47.42,4,NA,NA,NA,3,3,hannaford,namedStore
new_york,store,3427.3,carrot,none,hannaford,NA,18.76,96.44,4,NA,NA,NA,3,3,hannaford,namedStore
new_york,store,3423.3,kale,none,hannaford,NA,251.8,8678.76,NA,NA,NA,NA,NA,NA,hannaford,namedStore
new_york,store,3423.2,kale,none,hannaford,NA,250.99,5969.09,NA,NA,NA,NA,NA,NA,hannaford,namedStore
new_york,store,3423.1,kale,none,hannaford,NA,792.26,6113.98,NA,NA,NA,NA,NA,NA,hannaford,namedStore
washington,store,3834,cherry_tomato,none,country_farms_burlington,NA,113.7,1141.23,NA,98.42,354.87,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3835,cherry_tomato,none,country_farms_burlington,NA,122,1062.49,NA,98.42,353.9,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3839,cherry_tomato,none,country_farms_burlington,NA,110.84,1186.87,NA,98.42,359.19,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3841,grape,other produce_of_usa,country_farms_burlington,NA,60.37,876.4,NA,98.32,213.8,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3840,grape,other produce_of_usa,country_farms_burlington,NA,104.14,906.07,NA,98.32,212.74,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3829,grape,other produce_of_usa,country_farms_burlington,NA,88.59,1799.74,NA,98.32,214.35,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3826.3,kale,none,country_farms_burlington,NA,1018.83,15512.8,NA,NA,NA,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3826.2,kale,none,country_farms_burlington,NA,818.93,16786.2,NA,NA,NA,NA,NA,NA,country_farms_burlington,namedStore
washington,store,3826.1,kale,none,country_farms_burlington,NA,991.54,2344.18,NA,NA,NA,NA,NA,NA,country_farms_burlington,namedStore
connecticut,farm_market,3666.2,carrot,NA,NA,NA,23.54,164.97,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,3666.3,carrot,NA,NA,NA,17.31,123.46,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,3666.1,carrot,NA,NA,NA,20.02,65.95,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,2149.3,grape,NA,NA,NA,279.65,1084.38,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,2149.1,grape,NA,NA,NA,86.54,1051.44,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,2149.2,grape,NA,NA,NA,238.23,1110.44,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,2141,grape,NA,NA,NA,350.43,1182.54,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,3652b,grape,NA,NA,NA,137.21,917.3,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,3659.2,carrot,NA,NA,NA,21.98,19.16,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,3659.3,carrot,NA,NA,NA,20.02,119.16,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
connecticut,farm_market,3659.1,carrot,NA,NA,NA,16.37,45.84,NA,NA,NA,NA,NA,NA,farm_marketUnnamed,farm_marketUnnamed
colorado,store,4008.1,lettuce,local certified_organic,alfalfas,NA,50.71,414.94,NA,NA,NA,NA,NA,NA,alfalfas,namedStore
colorado,store,4008.2,lettuce,local certified_organic,alfalfas,NA,60.13,522.2,NA,NA,NA,NA,NA,NA,alfalfas,namedStore
colorado,store,4008.3,lettuce,local certified_organic,alfalfas,NA,52.51,429.24,NA,NA,NA,NA,NA,NA,alfalfas,namedStore
colorado,store,4009.1,cherry_tomato,certified_organic,alfalfas,NA,48.93,784.37,NA,NA,NA,NA,NA,NA,alfalfas,namedStore
colorado,store,4009.2,cherry_tomato,certified_organic,alfalfas,NA,57.39,730.73,NA,NA,NA,NA,NA,NA,alfalfas,namedStore
colorado,store,4009.3,cherry_tomato,certified_organic,alfalfas,NA,41.53,1008.13,NA,NA,NA,NA,NA,NA,alfalfas,namedStore
